dataset,model,integration,omic_combination,n_omics,balanced_accuracy,macro_f1,accuracy,mcc,macro_roc_auc_ovr,macro_pr_auc_ovr,log_loss,brier_score,ece,n_units
TCGA-BRCA,integrao,late,mrna+dnam+rppa+mirna+cnv,5,0.852 +/- 0.006,0.828 +/- 0.005,0.836 +/- 0.001,0.752 +/- 0.002,0.961 +/- 0.000,0.894 +/- 0.002,0.422 +/- 0.004,0.240 +/- 0.004,0.081 +/- 0.003,3
TCGA-BRCA,logreg_early,early,mrna+dnam+rppa+mirna+cnv,5,0.817 +/- 0.007,0.813 +/- 0.005,0.833 +/- 0.004,0.741 +/- 0.007,0.955 +/- 0.001,0.881 +/- 0.001,0.541 +/- 0.008,0.253 +/- 0.005,0.096 +/- 0.003,3
TCGA-BRCA,logreg_late,late,mrna+dnam+rppa+mirna+cnv,5,0.838 +/- 0.002,0.828 +/- 0.001,0.838 +/- 0.003,0.756 +/- 0.004,0.956 +/- 0.001,0.885 +/- 0.001,0.512 +/- 0.004,0.272 +/- 0.002,0.158 +/- 0.002,3
TCGA-BRCA,mofa,early,mrna+dnam+rppa+mirna+cnv,5,0.774 +/- 0.009,0.745 +/- 0.006,0.765 +/- 0.007,0.654 +/- 0.011,0.916 +/- 0.006,0.787 +/- 0.006,1.027 +/- 0.332,0.357 +/- 0.014,0.122 +/- 0.006,3
TCGA-BRCA,pca_logreg,early,mrna+dnam+rppa+mirna+cnv,5,0.836 +/- 0.004,0.823 +/- 0.004,0.835 +/- 0.005,0.748 +/- 0.007,0.958 +/- 0.001,0.889 +/- 0.001,0.547 +/- 0.016,0.250 +/- 0.006,0.097 +/- 0.003,3
TCGA-BRCA,pnet,early,mrna+dnam+rppa+mirna+cnv,5,0.783 +/- 0.010,0.803 +/- 0.006,0.831 +/- 0.002,0.728 +/- 0.005,0.899 +/- 0.019,0.832 +/- 0.021,1.595 +/- 0.368,0.263 +/- 0.011,0.090 +/- 0.007,3
TCGA-BRCA,svm_early,early,mrna+dnam+rppa+mirna+cnv,5,0.770 +/- 0.004,0.749 +/- 0.004,0.780 +/- 0.004,0.678 +/- 0.005,0.947 +/- 0.001,0.860 +/- 0.003,0.665 +/- 0.012,0.267 +/- 0.006,0.109 +/- 0.002,3
TCGA-KIPAN,integrao,late,mrna+dnam+rppa+mirna+cnv,5,0.859 +/- 0.012,0.837 +/- 0.011,0.881 +/- 0.006,0.788 +/- 0.012,0.941 +/- 0.006,0.870 +/- 0.008,0.756 +/- 0.055,0.223 +/- 0.006,0.136 +/- 0.004,3
TCGA-KIPAN,logreg_early,early,mrna+dnam+rppa+mirna+cnv,5,0.935 +/- 0.003,0.927 +/- 0.002,0.948 +/- 0.002,0.904 +/- 0.003,0.986 +/- 0.002,0.969 +/- 0.002,0.247 +/- 0.006,0.087 +/- 0.001,0.045 +/- 0.001,3
TCGA-KIPAN,logreg_late,late,mrna+dnam+rppa+mirna+cnv,5,0.953 +/- 0.002,0.937 +/- 0.003,0.955 +/- 0.003,0.918 +/- 0.006,0.990 +/- 0.001,0.972 +/- 0.002,0.230 +/- 0.004,0.111 +/- 0.003,0.119 +/- 0.001,3
TCGA-KIPAN,mofa,early,mrna+dnam+rppa+mirna+cnv,5,0.635 +/- 0.026,0.585 +/- 0.032,0.639 +/- 0.028,0.438 +/- 0.039,0.745 +/- 0.027,0.632 +/- 0.033,10.325 +/- 1.330,0.695 +/- 0.060,0.340 +/- 0.033,3
